,Rating,Company,Job,Salary,Reported,Location
0,3.8,Sasken,Android Developer,400000,3,Bangalore
1,4.5,Advanced Millennium Technologies,Android Developer,400000,3,Bangalore
2,4.0,Unacademy,Android Developer,1000000,3,Bangalore
3,3.8,SnapBizz Cloudtech,Android Developer,300000,3,Bangalore
4,4.4,Appoids Tech Solutions,Android Developer,600000,3,Bangalore
5,4.2,Freelancer,Android Developer,100000,3,Bangalore
6,3.7,SQUARE N CUBE,Android Developer,192000,3,Bangalore
7,3.1,Samsung R&D Institute India - Bangalore,Android Developer,400000,3,Bangalore
8,3.7,DXMinds Technologies,Android Developer,300000,3,Bangalore
9,3.6,Endeavour Software Technologies,Android Developer,600000,3,Bangalore
10,3.6,Craft Silicon,Android Developer,300000,3,Bangalore
11,3.9,Baronford & Associates,Android Developer,240000,2,Bangalore
12,3.7,Wibmo,Android Developer,900000,2,Bangalore
13,4.8,Retail Pulse,Android Developer - Intern,24000,2,Bangalore
14,3.9,Bookmyshow,Android Developer,600000,2,Bangalore
15,3.9,Knowledge Flex,Android Developer,228000,2,Bangalore
16,3.6,Novopay Solutions,Android Developer,600000,2,Bangalore
17,3.7,WealthEngine,Android Developer,360000,2,Bangalore
18,4.0,J.P. Morgan,Android Developer,1000000,2,Bangalore
19,3.6,Acviss,Android Developer,500000,2,Bangalore
20,4.1,Fresher,Android Developer,408000,2,Bangalore
21,4.2,MedOnGo,Android Developer,300000,2,Bangalore
22,4.0,Nuclei,Android Developer,800000,2,Bangalore
23,4.4,eSecForte Technologies,Android Developer,228000,2,Bangalore
24,4.3,Moveinsync Technology Solutions,Android Developer,100000,2,Bangalore
25,3.6,Tech Mahindra,Android Developer,500000,2,Bangalore
26,4.0,ThiDiff Technologies,Android Developer,200000,2,Bangalore
27,4.9,Retranz Infolabs,Android Developer,500000,2,Bangalore
28,4.0,FicusLot,Android Developer,228000,2,Bangalore
29,3.7,KrazyBee,Android Developer,708000,2,Bangalore
30,5.0,powerplay app,Android Developer - Intern,396000,2,Bangalore
31,4.2,Dcoder,Android Developer,700000,2,Bangalore
32,4.6,Masai School,Android Developer,500000,2,Bangalore
33,3.9,Integra Micro Software Services (P),Android Developer,500000,2,Bangalore
34,3.3,DocsApp,Android Developer,900000,2,Bangalore
35,5.0,Vispara Technosoft,Android Developer,200000,2,Bangalore
36,4.3,Vmoksha Technologies,Android Developer,228000,2,Bangalore
37,2.9,Artoo,Android Developer,400000,2,Bangalore
38,3.8,Edelweiss Financial Services,Android Developer,600000,2,Bangalore
